Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS
1/1/2020,675.3241577,1866.11377,605.5292969,633.1511841
1/2/2020,686.821228,1857.548218,609.3891602,631.303772
1/3/2020,687.6488647,1894.566895,600.6987305,641.0133667
1/6/2020,671.7007446,1894.395264,587.6987915,634.8695679
1/7/2020,682.0345459,1899.043945,597.0047607,625.4606323
1/8/2020,676.9124146,1941.572632,595.4418945,617.1257324
1/9/2020,692.5026245,1906.361572,602.1195679,625.1600342
1/10/2020,692.3460083,1905.672852,607.4710693,634.2681885
1/13/2020,690.5790405,1885.699463,609.0338745,664.6862183
1/14/2020,684.1818848,1899.947876,610.6915283,666.4907227
1/15/2020,684.1818848,1917.166138,608.2052002,659.5306396
1/16/2020,684.1818848,1927.4104,609.8153687,659.0580444
1/17/2020,684.1818848,1910.450562,605.3162842,659.7883911
1/20/2020,684.1818848,1868.481445,594.3053589,660.3039551
1/21/2020,684.1818848,1869.084229,589.30896,655.1912231
1/22/2020,685.9489136,1899.947876,587.6513672,661.8077393
1/23/2020,683.0411377,1890.499756,589.5457764,673.9662476
1/24/2020,680.670166,1883.984131,589.4037476,672.5914307
1/27/2020,673.9597778,1871.774902,574.5567017,668.5958862
1/28/2020,658.3919067,1884.286743,579.2925415,668.5100708
1/29/2020,662.0155029,1859.133789,579.2925415,678.5633545
1/30/2020,645.8660278,1844.681396,579.2925415,670.8301392
1/31/2020,631.5059814,1793.944336,579.2925415,666.7484741
2/3/2020,619.8076782,1814.178711,579.2925415,659.4017944
2/4/2020,638.1044922,1818.708618,579.2925415,676.9737549
2/5/2020,647.9909058,1852.188477,589.4511108,674.1382446
2/6/2020,652.1513672,1836.483887,587.1542358,662.7958374
2/7/2020,641.3477783,1843.55896,588.2907715,667.9084473
2/10/2020,642.2201538,1865.475952,587.3909912,664.3855591
2/11/2020,649.8922729,1858.098999,587.5330811,664.6862183
2/12/2020,657.7432861,1873.069458,591.5112305,671.1307373
2/13/2020,659.4656372,1891.362061,587.9118652,680.7545776
2/14/2020,665.4824219,1884.674805,577.4692993,675.770874
2/17/2020,661.2996826,1901.112915,576.4274292,678.3485107
2/18/2020,656.4459229,1911.898438,574.5804443,685.3945923
2/19/2020,672.7296143,1895.159302,581.1869507,687.8005981
2/20/2020,664.7443848,1861.032349,576.4036865,684.8359985
2/24/2020,646.402832,1825.266724,573.0175781,683.8478394
2/25/2020,633.6309814,1860.47168,568.4475098,686.0390625
2/26/2020,622.7155151,1832.385498,567.9501343,672.5914307
2/27/2020,620.1431885,1816.767212,568.0448608,668.3811035
2/28/2020,594.3756104,1725.864136,557.7207642,628.7258301
3/2/2020,588.7838745,1726.856567,558.6442261,636.7600708
3/3/2020,600.7280884,1756.970581,559.6861572,641.8727417
3/4/2020,599.3189697,1797.525391,544.0812988,651.9691162
3/5/2020,586.5470581,1833.636841,545.2653198,648.4031372
3/6/2020,568.5856934,1826.215576,537.4748535,634.9555664
3/9/2020,498.418457,1701.876465,524.4038086,605.3109741
3/11/2020,516.0441284,1685.783936,527.4821167,589.4573975
3/12/2020,475.5363464,1527.145752,483.6752014,542.3696899
3/13/2020,494.4593811,1558.597656,506.6442871,551.9503174
3/16/2020,454.3765564,1463.768188,473.3510437,501.0817871
3/17/2020,450.9319763,1430.633911,461.7954712,476.8504333
3/18/2020,433.2614746,1427.527832,415.2891846,459.1064758
3/19/2020,410.5359192,1422.269531,424.1215515,468.7732849
3/20/2020,455.3830566,1562.292969,418.1069946,502.8431702
3/23/2020,395.4824829,1451.256104,365.3966675,452.3612976
